date,open,high,low,close,volume,stock_name,ticker
03/18/2025,1.5,1.5,1.5,1.5,351.25K,Abctrans,ABCTRANS
03/17/2025,1.5,1.5,1.5,1.5,109.79K,Abctrans,ABCTRANS
03/14/2025,1.5,1.5,1.5,1.5,167.41K,Abctrans,ABCTRANS
03/13/2025,1.5,1.5,1.5,1.5,230.03K,Abctrans,ABCTRANS
03/12/2025,1.5,1.5,1.5,1.5,206.23K,Abctrans,ABCTRANS
03/11/2025,1.63,1.79,1.5,1.5,1.33M,Abctrans,ABCTRANS
03/10/2025,1.5,1.63,1.63,1.63,428.76K,Abctrans,ABCTRANS
03/07/2025,1.58,1.58,1.44,1.5,1.13M,Abctrans,ABCTRANS
03/06/2025,1.58,1.58,1.58,1.58,128.25K,Abctrans,ABCTRANS
03/05/2025,1.56,1.58,1.58,1.58,219.39K,Abctrans,ABCTRANS
03/04/2025,1.56,1.56,1.56,1.56,327.83K,Abctrans,ABCTRANS
03/03/2025,1.42,1.56,1.56,1.56,1.00M,Abctrans,ABCTRANS
02/28/2025,1.42,1.42,1.42,1.42,359.42K,Abctrans,ABCTRANS
02/27/2025,1.33,1.42,1.35,1.42,954.52K,Abctrans,ABCTRANS
02/26/2025,1.33,1.33,1.33,1.33,531.41K,Abctrans,ABCTRANS
02/25/2025,1.23,1.33,1.33,1.33,389.21K,Abctrans,ABCTRANS
02/24/2025,1.23,1.23,1.23,1.23,400.55K,Abctrans,ABCTRANS
02/21/2025,1.29,1.23,1.23,1.23,178.16K,Abctrans,ABCTRANS
02/20/2025,1.29,1.3,1.29,1.29,602.99K,Abctrans,ABCTRANS
02/19/2025,1.28,1.29,1.28,1.29,939.84K,Abctrans,ABCTRANS
02/18/2025,1.28,1.28,1.28,1.28,640.05K,Abctrans,ABCTRANS
02/17/2025,1.28,1.28,1.28,1.28,293.81K,Abctrans,ABCTRANS
02/14/2025,1.22,1.28,1.21,1.28,1.50M,Abctrans,ABCTRANS
02/13/2025,1.26,1.22,1.22,1.22,515.25K,Abctrans,ABCTRANS
02/12/2025,1.22,1.26,1.22,1.26,1.12M,Abctrans,ABCTRANS
02/11/2025,1.2,1.22,1.21,1.22,17.40M,Abctrans,ABCTRANS
02/10/2025,1.14,1.2,1.2,1.2,454.22K,Abctrans,ABCTRANS
02/07/2025,1.14,1.14,1.14,1.14,53.57K,Abctrans,ABCTRANS
02/06/2025,1.14,1.14,1.14,1.14,112.80K,Abctrans,ABCTRANS
02/05/2025,1.14,1.14,1.14,1.14,82.67K,Abctrans,ABCTRANS
02/04/2025,1.14,1.14,1.14,1.14,54.91K,Abctrans,ABCTRANS
02/03/2025,1.14,1.14,1.14,1.14,273.27K,Abctrans,ABCTRANS
01/31/2025,1.14,1.14,1.14,1.14,174.39K,Abctrans,ABCTRANS
01/30/2025,1.14,1.14,1.14,1.14,169.52K,Abctrans,ABCTRANS
01/29/2025,1.14,1.14,1.14,1.14,83.11K,Abctrans,ABCTRANS
01/28/2025,1.11,1.14,1.14,1.14,319.54K,Abctrans,ABCTRANS
01/27/2025,1.11,1.11,1.11,1.11,381.18K,Abctrans,ABCTRANS
01/24/2025,1.1,1.11,1.11,1.11,410.97K,Abctrans,ABCTRANS
01/23/2025,1.1,1.1,1.1,1.1,367.09K,Abctrans,ABCTRANS
01/22/2025,1.1,1.1,1.1,1.1,102.86K,Abctrans,ABCTRANS
01/21/2025,1.07,1.1,1.1,1.1,516.80K,Abctrans,ABCTRANS
01/20/2025,1.07,1.07,1.07,1.07,97.67K,Abctrans,ABCTRANS
01/17/2025,1.07,1.07,1.07,1.07,408.06K,Abctrans,ABCTRANS
